"steam_id","rank","region","crawled_at"
"1974050","6","BR","2026-01-13 08:00:00"
"1974050","13","BR","2026-01-20 08:00:00"
"1974050","34","BR","2026-01-27 08:00:00"
"1974050","61","BR","2026-02-03 08:00:00"
"1974050","5","BR","2026-04-14 08:00:00"
"1974050","9","BR","2026-04-21 08:00:00"
"1974050","31","BR","2026-04-28 08:00:00"
"1974050","62","BR","2026-05-05 08:00:00"
"1974050","11","BR","2026-07-14 08:00:00"
"1974050","28","CN","2026-01-13 08:00:00"
"1974050","55","CN","2026-01-20 08:00:00"
"1974050","24","CN","2026-04-14 08:00:00"
"1974050","39","CN","2026-04-21 08:00:00"
"1974050","35","CN","2026-07-14 08:00:00"
"1974050","10","FR","2026-01-13 08:00:00"
"1974050","11","FR","2026-01-20 08:00:00"
"1974050","29","FR","2026-01-27 08:00:00"
"1974050","50","FR","2026-02-03 08:00:00"
"1974050","5","FR","2026-04-14 08:00:00"
"1974050","8","FR","2026-04-21 08:00:00"
"1974050","45","FR","2026-04-28 08:00:00"
"1974050","10","FR","2026-07-14 08:00:00"
"1974050","13","global","2026-01-13 08:00:00"
"1974050","25","global","2026-01-20 08:00:00"
"1974050","45","global","2026-01-27 08:00:00"
"1974050","87","global","2026-02-03 08:00:00"
"1974050","12","global","2026-04-14 08:00:00"
"1974050","13","global","2026-04-21 08:00:00"
"1974050","63","global","2026-04-28 08:00:00"
"1974050","14","global","2026-07-14 08:00:00"
"1974050","78","HK","2026-01-06 08:00:00"
"1974050","4","HK","2026-01-13 08:00:00"
"1974050","8","HK","2026-01-20 08:00:00"
"1974050","14","HK","2026-01-27 08:00:00"
"1974050","28","HK","2026-02-03 08:00:00"
"1974050","68","HK","2026-02-10 08:00:00"
"1974050","60","HK","2026-02-17 08:00:00"
"1974050","91","HK","2026-04-07 08:00:00"
"1974050","6","HK","2026-04-14 08:00:00"
"1974050","5","HK","2026-04-21 08:00:00"
"1974050","25","HK","2026-04-28 08:00:00"
"1974050","39","HK","2026-05-05 08:00:00"
"1974050","65","HK","2026-05-12 08:00:00"
"1974050","5","HK","2026-07-14 08:00:00"
"1974050","34","JP","2026-01-13 08:00:00"
"1974050","37","JP","2026-01-20 08:00:00"
"1974050","91","JP","2026-01-27 08:00:00"
"1974050","14","JP","2026-04-14 08:00:00"
"1974050","23","JP","2026-04-21 08:00:00"
"1974050","87","JP","2026-04-28 08:00:00"
"1974050","22","JP","2026-07-14 08:00:00"
"1974050","5","KR","2026-01-13 08:00:00"
"1974050","6","KR","2026-01-20 08:00:00"
"1974050","14","KR","2026-01-27 08:00:00"
"1974050","24","KR","2026-02-03 08:00:00"
"1974050","69","KR","2026-02-10 08:00:00"
"1974050","81","KR","2026-02-24 08:00:00"
"1974050","6","KR","2026-04-14 08:00:00"
"1974050","5","KR","2026-04-21 08:00:00"
"1974050","22","KR","2026-04-28 08:00:00"
"1974050","30","KR","2026-05-05 08:00:00"
"1974050","44","KR","2026-05-12 08:00:00"
"1974050","80","KR","2026-05-19 08:00:00"
"1974050","7","KR","2026-07-14 08:00:00"
"1974050","23","TH","2026-01-13 08:00:00"
"1974050","34","TH","2026-01-20 08:00:00"
"1974050","64","TH","2026-01-27 08:00:00"
"1974050","70","TH","2026-02-03 08:00:00"
"1974050","16","TH","2026-04-14 08:00:00"
"1974050","26","TH","2026-04-21 08:00:00"
"1974050","39","TH","2026-04-28 08:00:00"
"1974050","52","TH","2026-05-05 08:00:00"
"1974050","27","TH","2026-07-14 08:00:00"
"1974050","33","TW","2026-01-06 08:00:00"
"1974050","2","TW","2026-01-13 08:00:00"
"1974050","6","TW","2026-01-20 08:00:00"
"1974050","7","TW","2026-01-27 08:00:00"
"1974050","16","TW","2026-02-03 08:00:00"
"1974050","25","TW","2026-02-10 08:00:00"
"1974050","44","TW","2026-02-17 08:00:00"
"1974050","46","TW","2026-02-24 08:00:00"
"1974050","83","TW","2026-03-03 08:00:00"
"1974050","36","TW","2026-04-07 08:00:00"
"1974050","3","TW","2026-04-14 08:00:00"
"1974050","3","TW","2026-04-21 08:00:00"
"1974050","14","TW","2026-04-28 08:00:00"
"1974050","15","TW","2026-05-05 08:00:00"
"1974050","19","TW","2026-05-12 08:00:00"
"1974050","43","TW","2026-05-19 08:00:00"
"1974050","87","TW","2026-06-02 08:00:00"
"1974050","5","TW","2026-07-14 08:00:00"
"1974050","22","US","2026-01-13 08:00:00"
"1974050","36","US","2026-01-20 08:00:00"
"1974050","99","US","2026-01-27 08:00:00"
"1974050","18","US","2026-04-14 08:00:00"
"1974050","26","US","2026-04-21 08:00:00"
"1974050","27","US","2026-07-14 08:00:00"
"2315040","63","CN","2026-01-06 08:00:00"
"2315040","7","CN","2026-01-13 08:00:00"
"2315040","21","CN","2026-01-20 08:00:00"
"2315040","30","CN","2026-01-27 08:00:00"
"2315040","47","CN","2026-02-03 08:00:00"
"2315040","62","CN","2026-04-07 08:00:00"
"2315040","7","CN","2026-04-14 08:00:00"
"2315040","12","CN","2026-04-21 08:00:00"
"2315040","29","CN","2026-04-28 08:00:00"
"2315040","35","CN","2026-05-05 08:00:00"
"2315040","39","CN","2026-05-12 08:00:00"
"2315040","67","CN","2026-05-19 08:00:00"
"2315040","63","CN","2026-07-07 08:00:00"
"2315040","5","CN","2026-07-14 08:00:00"
"2315040","78","global","2026-01-13 08:00:00"
"2315040","42","global","2026-04-14 08:00:00"
"2315040","80","global","2026-04-21 08:00:00"
"2315040","34","global","2026-07-14 08:00:00"
"2315040","98","HK","2026-01-13 08:00:00"
"2315040","96","HK","2026-04-14 08:00:00"
"2315040","91","HK","2026-07-14 08:00:00"
"2315040","92","JP","2026-07-14 08:00:00"
"4025700","45","BR","2026-01-20 08:00:00"
"4025700","25","BR","2026-01-27 08:00:00"
"4025700","17","BR","2026-02-03 08:00:00"
"4025700","9","BR","2026-02-10 08:00:00"
"4025700","14","BR","2026-02-17 08:00:00"
"4025700","20","BR","2026-02-24 08:00:00"
"4025700","24","BR","2026-03-03 08:00:00"
"4025700","41","BR","2026-03-10 08:00:00"
"4025700","55","BR","2026-03-17 08:00:00"
"4025700","28","BR","2026-03-24 08:00:00"
"4025700","28","BR","2026-03-31 08:00:00"
"4025700","55","BR","2026-04-07 08:00:00"
"4025700","81","BR","2026-04-14 08:00:00"
"4025700","44","BR","2026-04-28 08:00:00"
"4025700","44","BR","2026-05-05 08:00:00"
"4025700","90","BR","2026-05-12 08:00:00"
"4025700","92","BR","2026-05-19 08:00:00"
"4025700","79","BR","2026-06-02 08:00:00"
"4025700","92","BR","2026-07-07 08:00:00"
"4025700","25","BR","2026-07-14 08:00:00"
"4025700","31","FR","2026-01-20 08:00:00"
"4025700","27","FR","2026-01-27 08:00:00"
"4025700","10","FR","2026-02-03 08:00:00"
"4025700","6","FR","2026-02-10 08:00:00"
"4025700","16","FR","2026-02-17 08:00:00"
"4025700","19","FR","2026-02-24 08:00:00"
"4025700","17","FR","2026-03-03 08:00:00"
"4025700","43","FR","2026-03-10 08:00:00"
"4025700","58","FR","2026-03-17 08:00:00"
"4025700","17","FR","2026-03-24 08:00:00"
"4025700","20","FR","2026-03-31 08:00:00"
"4025700","45","FR","2026-04-07 08:00:00"
"4025700","87","FR","2026-04-14 08:00:00"
"4025700","41","FR","2026-04-28 08:00:00"
"4025700","34","FR","2026-05-05 08:00:00"
"4025700","49","FR","2026-06-02 08:00:00"
"4025700","100","FR","2026-07-07 08:00:00"
"4025700","43","FR","2026-07-14 08:00:00"
"4025700","59","global","2026-01-20 08:00:00"
"4025700","42","global","2026-01-27 08:00:00"
"4025700","28","global","2026-02-03 08:00:00"
"4025700","20","global","2026-02-10 08:00:00"
"4025700","37","global","2026-02-17 08:00:00"
"4025700","38","global","2026-02-24 08:00:00"
"4025700","54","global","2026-03-03 08:00:00"
